Booking_ID,Passenger_ID,Flight_Number,Departure_Time,Class,Ticket_Price,Flight_Status
200000,23577,EK266,11/28/2023 4:25,First,3582.58,On Time
200001,15411,EK125,10/28/2024 1:04,Business,153.23,Cancelled
200002,38012,EK781,7/2/2024 3:23,Business,402.51,On Time
200003,28116,EK764,8/19/2024 1:58,First,3671.74,Delayed
200004,30237,EK903,6/3/2024 6:02,Business,4216.4,Delayed
200005,73718,EK860,3/30/2023 13:26,Economy,3651.39,Delayed
200006,35800,EK584,3/13/2023 7:05,Economy,553.45,Cancelled
200007,26769,EK921,7/18/2024 13:03,First,1114.09,Delayed
200008,13790,EK422,8/2/2024 3:14,Business,3425.82,Delayed
200009,47433,EK602,10/7/2024 20:37,Business,5291.48,Cancelled
200010,75271,EK414,3/5/2023 18:37,Economy,3675.38,Delayed
200011,33618,EK277,2/11/2024 1:14,Economy,4324.45,Cancelled
200012,41351,EK771,2/17/2023 17:54,Business,2500.96,Cancelled
200013,35387,EK347,5/17/2023 9:26,Economy,1825.78,Cancelled
200014,67054,EK473,5/28/2023 17:07,Economy,2211.22,Delayed
200015,38876,EK045,8/7/2024 9:35,Business,3269.36,On Time
200016,22723,EK057,11/29/2024 5:06,Economy,1281.83,On Time
200017,78403,EK397,8/18/2024 18:40,First,3519.8,Cancelled
200018,44049,EK598,7/12/2023 11:06,Economy,1759.51,Delayed
200019,61425,EK982,7/14/2024 22:04,Economy,5870.48,Delayed
200020,77736,EK076,7/31/2024 1:39,First,4472.26,On Time
200021,12200,EK738,7/30/2023 15:43,Economy,3490.93,Cancelled
200022,8144,EK016,6/28/2024 13:49,Business,4935.01,Delayed
200023,31868,EK311,11/18/2023 14:37,Business,4938.6,Delayed
200024,17311,EK610,4/9/2024 11:19,Business,992.16,Delayed
200025,12965,EK924,9/12/2023 5:44,First,4036.76,On Time
200026,14163,EK137,9/7/2023 2:36,First,3836.18,Delayed
200027,56530,EK343,11/4/2023 16:31,First,3739.86,Delayed
200028,77689,EK788,12/18/2023 23:28,First,895.53,On Time
200029,1170,EK371,10/22/2023 19:04,First,1653.05,Cancelled
200030,56568,EK369,5/1/2023 16:26,First,3926.09,Delayed
200031,60703,EK356,6/18/2023 10:09,Business,3070.4,Delayed
200032,20604,EK566,5/15/2024 13:02,First,2340.38,On Time
200033,78340,EK657,11/15/2024 2:48,Economy,4675.35,Cancelled
200034,57064,EK523,7/25/2024 18:50,Business,2223.54,On Time
200035,23706,EK306,11/18/2023 10:44,Economy,3043.29,Delayed
200036,20328,EK584,12/25/2023 19:31,Economy,271.39,Delayed
200037,5013,EK741,8/16/2024 14:04,Business,2399.9,On Time
200038,45823,EK065,4/6/2023 8:30,First,308.86,Cancelled
200039,69221,EK351,12/14/2024 21:04,First,2344.43,Cancelled
200040,37582,EK632,3/4/2023 23:44,Economy,2171.01,Delayed
200041,7336,EK032,11/14/2023 20:36,Economy,2399.67,Delayed
200042,57567,EK738,11/28/2024 14:18,First,3971.33,Cancelled
200043,27904,EK700,1/31/2024 21:22,First,4560.64,On Time
200044,8073,EK887,1/24/2023 14:22,First,478.67,Delayed
200045,68416,EK401,6/22/2023 19:07,First,3540.53,Delayed
200046,20550,EK851,5/20/2024 1:13,First,3683.12,Delayed
200047,54822,EK318,10/22/2023 4:47,Business,5540.73,Delayed
200048,19494,EK949,9/11/2023 12:25,First,5335.79,On Time
200049,65374,EK011,5/23/2024 2:10,Economy,4954.76,Delayed
200050,56974,EK191,4/4/2024 12:35,First,4554.47,Cancelled
200051,19031,EK591,10/12/2023 4:52,Business,950.56,Cancelled
200052,2795,EK531,3/16/2024 17:17,Economy,4441.79,Delayed
200053,10557,EK422,12/24/2024 13:22,Economy,2721.59,Delayed
200054,37633,EK038,11/30/2024 12:14,Economy,2648.95,Delayed
200055,58346,EK037,6/4/2023 2:11,First,5149.9,On Time
200056,48935,EK004,6/4/2023 7:42,Economy,4202.39,Cancelled
200057,57373,EK375,8/27/2023 0:31,Economy,1269.26,Delayed
200058,47349,EK750,8/26/2024 5:16,Business,4835.09,On Time
200059,53602,EK710,10/16/2023 0:09,Economy,1037.26,Delayed
200060,52777,EK316,3/5/2024 17:23,Business,5914.89,Cancelled
200061,61502,EK862,9/16/2024 18:20,First,3480.83,Delayed
200062,16273,EK552,5/9/2023 22:54,Business,5325.72,Cancelled
200063,45181,EK858,6/11/2024 19:41,First,2307.05,Delayed
200064,71930,EK652,11/23/2024 23:03,First,4928.19,On Time
200065,71380,EK311,4/12/2024 21:51,Economy,5920.86,On Time
200066,25122,EK014,7/26/2024 12:25,Economy,4190.34,Delayed
200067,30276,EK273,2/13/2024 12:06,Business,1552.65,Cancelled
200068,34379,EK604,5/8/2024 20:25,Economy,281.18,Cancelled
200069,35604,EK672,3/5/2023 6:04,Business,1035.09,On Time
200070,16883,EK029,8/2/2023 14:10,Economy,4278.02,On Time
200071,36743,EK674,4/23/2023 10:38,Economy,828.52,On Time
200072,37934,EK716,2/23/2023 3:00,Business,2585.94,Delayed
200073,47554,EK423,8/3/2024 4:34,Business,498.36,On Time
200074,31452,EK739,4/14/2023 11:39,First,4845.98,Cancelled
200075,13330,EK701,1/27/2023 2:55,Business,4818.49,Delayed
200076,38973,EK528,8/1/2023 19:24,Business,5851.15,Cancelled
200077,65692,EK307,6/2/2023 20:16,Business,5303.33,Cancelled
200078,70229,EK642,12/22/2023 19:23,First,412.73,Delayed
200079,60561,EK861,4/30/2024 3:07,Business,2811.37,Delayed
200080,77639,EK825,5/14/2024 14:30,Economy,5131.26,Delayed
200081,7854,EK027,5/10/2024 9:05,Economy,4780.49,Cancelled
200082,9667,EK827,5/28/2023 3:47,First,4259.74,Cancelled
200083,65035,EK610,12/17/2023 23:16,Economy,804.63,Cancelled
200084,72799,EK517,5/5/2024 22:10,Economy,608.5,Cancelled
200085,58280,EK693,6/12/2024 0:13,First,3990.68,Delayed
200086,39316,EK423,6/24/2024 11:09,Economy,3136.75,Cancelled
200087,47854,EK888,12/7/2024 17:58,Business,3551.14,Cancelled
200088,55481,EK171,1/28/2023 16:19,Economy,525.46,Cancelled
200089,38699,EK809,10/20/2024 2:44,First,4128.05,Cancelled
200090,20090,EK828,9/25/2023 16:23,First,962.61,On Time
200091,6405,EK100,6/21/2023 11:49,First,2296.03,Cancelled
200092,56450,EK775,8/17/2023 17:34,Business,2313.71,On Time
200093,4573,EK117,5/29/2024 10:40,First,2865.26,On Time
200094,57347,EK417,8/17/2023 19:51,Business,928.37,Delayed
200095,41015,EK977,7/19/2023 7:52,Business,4293.67,Delayed
200096,4119,EK071,2/15/2024 23:51,First,844.79,Cancelled
200097,70300,EK789,8/21/2023 6:33,Business,3335.66,Cancelled
200098,23553,EK115,5/19/2024 11:46,Business,896.01,Cancelled
200099,71039,EK637,1/30/2023 0:50,Economy,5279.24,Cancelled
200100,58709,EK560,10/14/2023 15:16,Economy,2617.85,On Time
200101,38246,EK965,7/18/2023 22:38,First,3269.35,On Time
200102,6853,EK559,12/19/2023 14:51,Economy,3975.45,Delayed
200103,59235,EK452,12/24/2023 11:05,First,3893.57,Delayed
200104,66455,EK021,8/14/2023 3:14,Business,5199.06,Delayed
200105,13390,EK625,4/26/2024 6:21,First,3092.24,On Time
200106,67041,EK523,7/29/2023 15:39,Economy,1096.39,Cancelled
200107,59673,EK086,9/16/2024 0:30,First,3255.74,Cancelled
200108,3135,EK253,10/30/2024 11:51,Economy,2760.47,Cancelled
200109,74285,EK931,10/20/2024 2:53,Business,1014.11,Delayed
200110,36190,EK740,11/7/2024 3:58,Economy,3809.3,On Time
200111,30900,EK464,2/2/2024 22:48,Economy,5703.6,On Time
200112,78986,EK961,7/24/2023 15:56,First,4742.08,Cancelled
200113,67916,EK522,7/2/2023 13:50,Economy,2263.21,Delayed
200114,24365,EK160,10/13/2024 10:05,First,1318.12,Delayed
200115,64833,EK148,2/10/2024 14:25,Business,2590.86,Cancelled
200116,66956,EK531,3/28/2023 23:10,Economy,1324.69,Delayed
200117,21853,EK577,6/24/2023 4:01,First,5236.96,Cancelled
200118,68564,EK766,6/4/2023 18:57,Economy,4064.6,Delayed
200119,4808,EK924,4/21/2024 20:09,First,2567.42,On Time
200120,59050,EK786,9/18/2024 19:30,First,606.8,Cancelled
200121,12786,EK675,11/4/2024 11:09,Business,5837.27,Cancelled
200122,39982,EK278,7/15/2024 17:08,First,5091.93,Cancelled
200123,36439,EK992,1/22/2023 0:51,First,3993.47,Cancelled
200124,6416,EK140,10/27/2024 3:33,First,5692.22,Cancelled
200125,70712,EK332,5/23/2023 13:55,Business,4856.51,Cancelled
200126,74675,EK177,7/19/2023 6:01,First,5948.46,Cancelled
200127,72822,EK245,9/15/2023 6:18,Economy,3170.03,On Time
200128,78843,EK506,5/28/2024 7:48,Economy,1832.85,Cancelled
200129,3830,EK932,8/23/2024 10:16,Economy,653.31,Cancelled
200130,54607,EK207,7/11/2024 13:53,Business,1166.6,Cancelled
200131,51411,EK250,5/15/2023 1:58,Economy,3593.79,Delayed
200132,59391,EK655,12/29/2023 14:42,Economy,1074.48,On Time
200133,40826,EK853,8/20/2024 16:26,Economy,971.67,On Time
200134,49905,EK332,5/28/2024 4:34,Business,3799.05,On Time
200135,29639,EK517,6/5/2023 16:32,Business,1428.83,Delayed
200136,66577,EK091,1/20/2023 14:49,Business,5653.13,Cancelled
200137,16661,EK119,7/7/2023 19:00,Economy,3402.88,On Time
200138,37011,EK614,6/3/2023 5:09,Economy,3061,Delayed
