Flight_Number,Departure_Airport,Arrival_Airport,Distance_km
EK001,SIN,SIN,3339
EK002,FRA,DEL,4257
EK003,FRA,YYZ,2840
EK004,DXB,BOM,5164
EK005,DEL,LHR,3493
EK006,DEL,DEL,475
EK007,JFK,DXB,3446
EK008,FRA,JFK,6119
EK009,CDG,DXB,10363
EK010,LHR,FRA,8256
EK011,YYZ,YYZ,1130
EK012,SYD,SYD,3164
EK013,YYZ,SIN,6499
EK014,SIN,DEL,1882
EK015,SYD,SYD,11281
EK016,SIN,JFK,13957
EK017,CDG,YYZ,9052
EK018,YYZ,BOM,10686
EK019,JFK,DXB,4413
EK020,FRA,DXB,344
EK021,FRA,YYZ,1371
EK022,FRA,BOM,4038
EK023,BOM,LHR,11337
EK024,BOM,DXB,10808
EK025,DXB,JFK,6827
EK026,DXB,YYZ,11766
EK027,DEL,DEL,11085
EK028,LHR,CDG,8967
EK029,YYZ,BOM,12746
EK030,JFK,FRA,3036
EK031,CDG,SIN,339
EK032,JFK,JFK,9731
EK033,CDG,SYD,12150
EK034,SIN,SIN,9043
EK035,DEL,CDG,6688
EK036,LHR,DXB,9257
EK037,FRA,FRA,4516
EK038,DXB,BOM,11201
EK039,LHR,SIN,1462
EK040,DXB,SIN,11887
EK041,YYZ,FRA,3817
EK042,FRA,BOM,346
EK043,CDG,YYZ,1697
EK044,LHR,SYD,5166
EK045,DEL,JFK,4047
EK046,DXB,SYD,3498
EK047,LHR,DXB,6218
EK048,SYD,BOM,5670
EK049,YYZ,YYZ,1283
EK050,FRA,DXB,8237
EK051,SYD,CDG,9044
EK052,LHR,DXB,768
EK053,SYD,YYZ,1551
EK054,YYZ,SIN,4604
EK055,DEL,BOM,9768
EK056,BOM,JFK,11639
EK057,LHR,SYD,5686
EK058,SIN,BOM,5432
EK059,DXB,SYD,8286
EK060,LHR,DXB,7990
EK061,YYZ,SYD,12048
EK062,SIN,SYD,8818
EK063,YYZ,FRA,1460
EK064,FRA,DEL,9288
EK065,YYZ,LHR,8053
EK066,YYZ,JFK,2987
EK067,FRA,DXB,6143
EK068,FRA,DXB,11804
EK069,JFK,CDG,9668
EK070,JFK,SIN,5229
EK071,JFK,SYD,10063
EK072,SIN,DXB,5317
EK073,YYZ,LHR,684
EK074,SYD,YYZ,8696
EK075,JFK,LHR,4994
EK076,SYD,LHR,1000
EK077,CDG,FRA,3862
EK078,SYD,YYZ,2186
EK079,FRA,LHR,3728
EK080,SIN,JFK,8442
EK081,FRA,FRA,5082
EK082,CDG,JFK,10820
EK083,YYZ,YYZ,12067
EK084,YYZ,SYD,11259
EK085,BOM,SYD,7107
EK086,CDG,SYD,11631
EK087,FRA,LHR,10644
EK088,YYZ,JFK,11012
EK089,FRA,LHR,5044
EK090,FRA,DXB,6814
EK091,CDG,JFK,3996
EK092,CDG,DEL,5144
EK093,FRA,LHR,9809
EK094,CDG,FRA,10266
EK095,DEL,YYZ,1544
EK096,BOM,CDG,8516
EK097,FRA,FRA,10113
EK098,BOM,LHR,6504
EK099,YYZ,DEL,10229
EK100,LHR,YYZ,2880
EK101,BOM,BOM,6654
EK102,LHR,DXB,7855
EK103,CDG,JFK,2741
EK104,SYD,FRA,8109
EK105,SYD,BOM,444
EK106,LHR,DXB,5911
EK107,DEL,CDG,5860
EK108,DXB,DEL,2834
EK109,SIN,BOM,13398
EK110,DEL,LHR,5032
EK111,LHR,JFK,12712
EK112,LHR,YYZ,3215
EK113,DEL,CDG,6548
EK114,DXB,DEL,10768
EK115,FRA,CDG,2776
EK116,SYD,JFK,7291
EK117,LHR,DXB,11459
EK118,SIN,FRA,2460
EK119,CDG,DEL,4489
EK120,DXB,FRA,7887
EK121,DEL,FRA,2644
EK122,JFK,SYD,8023
EK123,DXB,JFK,13801
EK124,FRA,YYZ,8748
EK125,BOM,LHR,4165
EK126,SIN,JFK,11541
EK127,LHR,JFK,2086
EK128,BOM,SIN,2492
EK129,LHR,CDG,1531
EK130,SIN,LHR,8848
EK131,CDG,JFK,12928
EK132,FRA,CDG,11083
EK133,SYD,CDG,9033
EK134,SIN,DEL,12865
EK135,SYD,BOM,9446
EK136,JFK,SYD,1826
EK137,FRA,BOM,5107
EK138,SYD,JFK,5727
EK139,SYD,DEL,12041
EK140,DXB,FRA,8891
EK141,FRA,CDG,9120
EK142,CDG,JFK,2070
