Passenger_ID,Age,Gender,Nationality
1000,65,Male,UAE
1001,22,Female,UK
1002,43,Female,UAE
1003,21,Male,Canada
1004,37,Male,France
1005,41,Female,Australia
1006,57,Male,Canada
1007,46,Male,Germany
1008,32,Female,Canada
1009,41,Female,USA
1010,26,Female,Germany
1011,43,Female,USA
1012,64,Female,UK
1013,60,Male,France
1014,44,Female,USA
1015,26,Male,UK
1016,57,Male,Singapore
1017,56,Female,Canada
1018,22,Female,Canada
1019,66,Male,Australia
1020,25,Female,France
1021,62,Female,Singapore
1022,18,Female,UK
1023,29,Male,Germany
1024,24,Male,Australia
1025,37,Male,UK
1026,62,Male,UAE
1027,23,Male,India
1028,42,Male,UK
1029,66,Male,Canada
1030,18,Male,UK
1031,52,Female,Germany
1032,27,Female,UK
1033,32,Male,Canada
1034,56,Male,Australia
1035,22,Female,UK
1036,64,Male,USA
1037,27,Male,Singapore
1038,41,Male,Australia
1039,53,Male,Canada
1040,21,Female,USA
1041,26,Male,USA
1042,37,Male,Australia
1043,66,Male,UAE
1044,19,Male,UAE
1045,18,Female,France
1046,34,Female,Singapore
1047,49,Male,Canada
1048,47,Female,Australia
1049,62,Female,UAE
1050,46,Male,USA
1051,25,Male,UK
1052,41,Female,Australia
1053,28,Male,France
1054,59,Male,India
1055,53,Male,Singapore
1056,18,Male,Australia
1057,25,Male,USA
1058,41,Male,USA
1059,46,Male,France
1060,50,Male,Australia
1061,39,Female,UK
1062,54,Male,Canada
1063,53,Male,France
1064,51,Female,Australia
1065,21,Male,Germany
1066,45,Male,France
1067,51,Male,Germany
1068,37,Female,France
1069,45,Female,UAE
1070,22,Male,Singapore
1071,37,Female,Germany
1072,51,Female,France
1073,48,Female,Singapore
1074,55,Male,UAE
1075,27,Female,Singapore
1076,47,Female,Germany
1077,35,Female,UAE
1078,49,Female,UAE
1079,20,Female,UK
1080,37,Male,India
1081,68,Male,UAE
1082,36,Male,Germany
1083,39,Female,USA
1084,21,Female,UK
1085,29,Female,India
1086,65,Male,Canada
1087,34,Male,UK
1088,30,Male,Singapore
1089,47,Male,Canada
1090,61,Male,USA
1091,59,Female,France
1092,27,Female,Australia
1093,30,Male,Australia
1094,21,Male,UAE
1095,64,Female,Australia
1096,32,Male,Germany
1097,38,Male,Singapore
1098,33,Male,Singapore
1099,53,Female,Singapore
1100,66,Female,UK
1101,22,Female,UAE
1102,61,Male,UAE
1103,26,Male,UAE
1104,44,Male,India
1105,61,Female,India
1106,65,Male,UK
1107,41,Female,Singapore
1108,31,Male,France
1109,68,Male,Singapore
1110,57,Male,Australia
1111,21,Male,Singapore
1112,47,Female,India
1113,30,Female,UK
1114,30,Male,Germany
1115,33,Male,France
1116,47,Female,UK
1117,26,Female,France
1118,56,Female,Australia
1119,24,Female,UK
1120,39,Male,UK
1121,62,Male,USA
1122,45,Female,India
1123,25,Male,Canada
1124,35,Female,India
1125,60,Female,UK
1126,65,Female,Canada
1127,23,Male,UK
1128,54,Female,Germany
1129,59,Female,UAE
1130,59,Male,France
1131,47,Female,Australia
1132,44,Female,UAE
1133,18,Male,Singapore
1134,40,Male,Australia
1135,52,Male,USA
1136,30,Male,UK
1137,24,Male,France
1138,58,Male,Canada
1139,52,Female,Singapore
1140,60,Female,India
1141,64,Female,India
1142,67,Male,Singapore
1143,47,Male,UK
1144,56,Male,Germany
1145,60,Female,Singapore
1146,35,Male,India
1147,23,Female,Canada
1148,33,Female,India
1149,67,Female,Germany
1150,30,Female,India
1151,59,Female,USA
1152,58,Male,UAE
1153,46,Female,Canada
1154,65,Male,France
1155,55,Female,Canada
1156,27,Male,Germany
1157,41,Male,Singapore
1158,39,Male,USA
1159,22,Male,India
1160,45,Female,UAE
1161,30,Male,India
1162,59,Male,France
1163,29,Female,India
1164,24,Female,UAE
1165,51,Male,France
1166,39,Male,UK
1167,39,Female,UK
1168,48,Male,UAE
1169,61,Male,India
1170,46,Female,USA
1171,69,Male,UK
1172,30,Male,Germany
1173,30,Female,Singapore
1174,63,Female,Australia
1175,54,Male,France
1176,25,Male,Canada
1177,39,Male,France
1178,59,Male,Australia
1179,56,Male,Canada
1180,33,Female,Australia
1181,61,Female,USA
1182,36,Male,Australia
1183,46,Male,UAE
1184,34,Male,UK
1185,23,Female,France
1186,53,Male,UAE
1187,31,Male,UK
1188,50,Male,Germany
1189,41,Female,France
1190,49,Female,UAE
1191,51,Male,UK
1192,63,Female,Singapore
1193,58,Female,USA
1194,45,Female,Singapore
1195,32,Male,France
1196,63,Male,Germany
1197,59,Male,USA
1198,60,Female,France
1199,50,Female,UK
1200,52,Female,France
1201,49,Female,UK
1202,66,Male,Singapore
1203,56,Male,Australia
1204,36,Female,Australia
1205,27,Female,UK
1206,27,Female,Canada
1207,31,Male,Canada
1208,39,Female,France
1209,61,Male,Germany
1210,19,Female,USA
1211,49,Male,India
1212,32,Male,Germany
1213,34,Female,USA
1214,66,Male,Singapore
1215,43,Female,Canada
1216,67,Male,France
1217,64,Male,Canada
1218,51,Female,France
1219,39,Female,UK
1220,37,Male,UAE
1221,36,Male,Germany
1222,18,Female,Canada
1223,31,Female,Germany
1224,28,Male,Germany
1225,45,Female,India
1226,46,Male,India
1227,26,Male,India
1228,51,Male,India
1229,54,Female,Canada
1230,43,Female,UAE
1231,62,Female,Germany
1232,69,Male,Singapore
1233,60,Female,Germany
1234,46,Female,Australia
1235,25,Female,France
1236,67,Female,Australia
1237,33,Male,France
1238,18,Male,Canada
1239,36,Male,UAE
1240,57,Female,UAE
1241,62,Female,Singapore
1242,66,Female,Germany
1243,18,Male,UK
1244,62,Female,USA
1245,27,Male,Germany
1246,64,Female,Germany
1247,52,Female,Australia
1248,66,Female,Canada
1249,61,Female,Singapore
1250,23,Female,UK
1251,39,Male,UAE
1252,34,Female,USA
1253,59,Male,Canada
1254,29,Male,India
1255,60,Female,USA
1256,50,Male,France
1257,58,Female,Germany
1258,54,Male,Canada
1259,23,Male,India
1260,46,Female,Australia
1261,61,Female,India
1262,47,Female,UK
1263,67,Female,India
1264,64,Male,USA
1265,60,Female,Germany
1266,66,Female,UK
1267,49,Male,India
1268,25,Male,Australia
1269,46,Female,India
1270,65,Female,France
1271,68,Male,Australia
1272,66,Male,Canada
1273,32,Male,USA
1274,65,Female,India
1275,31,Male,Canada
1276,37,Male,Germany
1277,59,Female,Singapore
1278,31,Male,UK
1279,42,Female,Australia
1280,21,Female,USA
1281,25,Female,UK
1282,67,Male,USA
1283,60,Male,Singapore
1284,50,Female,Australia
1285,51,Male,France
1286,29,Female,UK
1287,45,Male,UK
1288,22,Male,UAE
1289,56,Female,India
1290,49,Female,Australia
1291,67,Male,Singapore
1292,48,Female,UK
1293,32,Female,UAE
1294,62,Female,USA
1295,61,Male,USA
1296,30,Female,UK
1297,34,Female,USA
1298,67,Male,India
1299,44,Male,USA
1300,50,Female,UAE
1301,61,Male,USA
1302,51,Female,UK
1303,26,Female,USA
1304,48,Male,UK
1305,51,Male,Australia
1306,33,Female,UK
1307,40,Male,Australia
1308,52,Female,USA
1309,30,Female,Germany
1310,22,Male,Canada
1311,62,Female,USA
1312,38,Female,Canada
1313,61,Male,Germany
1314,67,Male,Germany
1315,36,Female,Australia
1316,39,Female,USA
1317,68,Male,UAE
1318,40,Male,Canada
1319,36,Female,USA
1320,23,Male,UAE
1321,57,Female,USA
1322,23,Male,France
1323,23,Male,France
1324,24,Female,India
1325,49,Female,Canada
1326,47,Male,UAE
1327,34,Female,Singapore
1328,60,Female,USA
1329,64,Male,France
1330,22,Male,France
1331,64,Female,USA
1332,56,Male,Singapore
1333,31,Male,UK
1334,20,Male,France
1335,30,Female,France
1336,42,Female,France
1337,45,Female,India
1338,34,Female,Canada
1339,64,Male,India
1340,23,Female,Singapore
1341,58,Female,India
1342,47,Male,UK
1343,27,Male,France
1344,62,Female,Canada
1345,57,Female,Canada
1346,32,Male,UAE
1347,24,Female,UK
1348,20,Male,France
1349,55,Female,France
1350,40,Female,India
1351,67,Female,Germany
1352,64,Male,UAE
1353,27,Female,UK
1354,53,Female,India
1355,33,Male,Germany
1356,38,Female,UK
1357,50,Male,Germany
1358,53,Male,UAE
1359,39,Male,UK
1360,24,Female,Canada
1361,38,Female,France
1362,18,Female,Germany
1363,38,Male,India
1364,51,Female,UK
1365,39,Female,UK
1366,20,Male,Australia
1367,29,Male,Singapore
1368,65,Female,Canada
1369,29,Female,UAE
1370,54,Female,Germany
1371,26,Female,Canada
1372,63,Female,USA
1373,61,Male,Canada
1374,25,Female,Australia
1375,25,Male,Singapore
1376,39,Female,India
1377,37,Male,Singapore
1378,57,Female,France
1379,40,Female,India
1380,63,Male,USA
1381,68,Male,Singapore
1382,53,Female,France
1383,35,Female,Canada
1384,51,Male,India
1385,26,Female,India
1386,33,Female,UK
1387,28,Male,Singapore
1388,36,Male,UK
1389,45,Female,Singapore
1390,35,Female,USA
1391,44,Male,Singapore
1392,57,Female,India
1393,18,Female,France
1394,26,Female,Singapore
1395,31,Male,Australia
1396,42,Male,France
1397,30,Female,Singapore
1398,67,Female,USA
1399,52,Male,USA
1400,21,Male,India
1401,50,Female,Singapore
1402,44,Male,USA
1403,35,Male,Australia
1404,29,Female,UK
1405,19,Female,UK
1406,55,Female,UK
1407,55,Female,UAE
1408,66,Male,UAE
1409,27,Female,Australia
1410,45,Male,Singapore
1411,37,Female,France
1412,61,Female,Australia
1413,68,Male,UK
1414,38,Male,Germany
1415,20,Female,USA
1416,65,Female,UK
1417,26,Male,Germany
1418,38,Male,Germany
